Document,Type,Description
HR 0085 of 2005,House Resolution,A resolution of tribute for Robert Brent Nelson upon the completion of his term on the Michigan Public Service Commission.Last Action: adopted
HR 0086 of 2005,House Resolution,"A resolution to urge the United States Coast Guard to continue to operate a cutter ship out of Charlevoix.
Last Action: adopted"
SR 0086 of 2005,Senate Resolution,"A resolution to oppose any state or local efforts to reclassify pet, livestock, or animal owners as ""guardians.""
Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SR 0087 of 2005,Senate Resolution,"A resolution to urge the Congress of the United States to reject some of the recommendations of the President's Advisory Panel on Federal Tax Reform.
Last Action: REFERRED TO COMMITTEE ON FINANCE"
HR 0087 of 2005,House Resolution,A resolution to extol and honor internationally acclaimed Motown Records and its founder Berry Gordy Jr.Last Action: adopted
HR 0088 of 2005,House Resolution,"A resolution to memorialize the President of the United States and the United States Congress to make the Republic of Poland eligible for the United States Department of State Visa Waiver Program.
Last Action: referred to Committee on Government Operations"
SR 0088 of 2005,Senate Resolution,A resolution of tribute to the Michigan Children's Trust Fund for its dedication to Michigan's children.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED COSPONSORS
SR 0089 of 2005,Senate Resolution,A resolution proclaiming and celebrating that the tree that adorns the Capitol lawn will be known as the Michigan Christmas Tree.Last Action: ADOPTED
HR 0089 of 2005,House Resolution,"A resolution to recognize July 3-9, 2005, as Fun, Safe Swimming Week in the state of Michigan.Last Action: adopted"
HR 0090 of 2005,House Resolution,"A resolution expressing appreciation and support for the Ambassador Bridge.
Last Action: referred to Committee on Commerce"
SR 0090 of 2005,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact legislation to require states and municipalities to submit emergency preparedness plans to the state and federal homeland security agencies.
Last Action: REFERRED TO COMMITTEE ON LOCAL, URBAN AND STATE AFFAIRS"
SR 0091 of 2005,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact the Employee Free Choice Act.
Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0091 of 2005,House Resolution,A resolution honoring Duffield Elementary School for winning the National Chess Club Championship and Duffield Middle School for being the National Chess Club Championship runner-up.Last Action: adopted
HR 0092 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to require the United States Department of Agriculture to inform the public about recalls of tainted meat, poultry, and egg products and provide the department the authority to issue mandatory recalls of tainted meat, poultry, and egg products.
Last Action: referred to Committee on Government Operations"
HR 0093 of 2005,House Resolution,A resolution commemorating the 12th Annual Juneteenth Celebration and Festival in honor of Juneteenth Day.Last Action: adopted
HR 0094 of 2005,House Resolution,A resolution honoring and congratulating the 2005 University of Michigan women's softball team upon winning the Women's College World Series.Last Action: adopted
HR 0095 of 2005,House Resolution,"A resolution of tribute offered as a memorial for Sandra J. Hill, former member of the House of Representatives.
Last Action: adopted by unanimous standing vote"
HR 0096 of 2005,House Resolution,"A resolution recognizing July 9, 2005, as Child Passenger Safety Day in the state of Michigan.Last Action: adopted"
HR 0097 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to adopt and present to the states for ratification an amendment to the United States Constitution that would provide that only citizens may be counted for purposes of determining congressional representation among the states.
Last Action: adopted"
HR 0098 of 2005,House Resolution,A resolution to memorialize the Congress of the United States to preserve funding for the Upward Bound program.Last Action: referred to Committee on Education
HR 0099 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to enact the International Solid Waste Importation and Management Act of 2005 or other laws to permit states to prohibit or limit the importation of foreign and out-of-state solid waste.
Last Action: referred to Committee on Natural Resources, Great Lakes, Land Use, and Environment"
HR 0100 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to enact the International Solid Waste Importation and Management Act of 2005 to permit states to regulate the importation of foreign municipal solid waste.
Last Action: referred to Committee on Natural Resources, Great Lakes, Land Use, and Environment"
HR 0101 of 2005,House Resolution,"A resolution to urge the Macomb and Oakland County Sheriff's Departments to contribute to the security effort to protect the public at events held in Detroit for a professional sports team that plays its games outside the city.
Last Action: referred to Committee on Government Operations"
HR 0102 of 2005,House Resolution,A resolution recognizing Michigan's food banks for the invaluable service they provide to the residents of this state.Last Action: adopted
HR 0103 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to hold public hearings on the effects of mercury exposure on public health.
Last Action: referred to Committee on Government Operations"
HR 0104 of 2005,House Resolution,A resolution honoring the 2005 Grand Rapids Community College Raiders Baseball Team on winning the National Junior College Athletic Association Division II World Series title.Last Action: adopted
HR 0105 of 2005,House Resolution,"A resolution to encourage the Michigan Department of Agriculture and the Michigan Department of Environmental Quality to continue participating in the Michigan Agriculture Environmental Assurance Program and encourage the maximum participation of Michigan farmers.
Last Action: adopted"
HR 0106 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to make proceeds from all games of chance operated by 501(c) charitable organizations tax exempt.
Last Action: referred to Committee on Government Operations"
HR 0107 of 2005,House Resolution,"A resolution honoring Dan Wyant, Director of the Michigan Department of Agriculture. 
Last Action: adopted"
HR 0108 of 2005,House Resolution,A resolution honoring and remembering Arthur Miller for his significant contribution to the citizens of the state of Michigan and the country as a whole.Last Action: adopted
HR 0109 of 2005,House Resolution,A resolution commemorating September 2005 as Children's Internet Safety Month in the state of Michigan.Last Action: adopted
HR 0110 of 2005,House Resolution,"A resolution recognizing September 15, 2005, as Buy Fresh, Buy Local, Select Michigan Day in the state of Michigan.
Last Action: adopted"
HR 0111 of 2005,House Resolution,"A resolution to memorialize the Congress and the President of the United States to oppose the Central American Free Trade Agreement.
Last Action: referred to Committee on Government Operations"
HR 0112 of 2005,House Resolution,"A resolution to memorialize the United States Senate to establish the precedent that it will allow votes for all judicial nominees of the President.
Last Action: referred to Committee on Government Operations"
HR 0113 of 2005,House Resolution,"A resolution to urge the Governor and the Michigan Public Service Commission (MPSC) to form a coalition to develop an energy policy for the state of Michigan.
Last Action: laid over one day under the rules"
HR 0114 of 2005,House Resolution,"A resolution honoring September 19-25, 2005, as Pollution Prevention Week in the state of Michigan.
Last Action: adopted"
HR 0115 of 2005,House Resolution,"A resolution recognizing September 15, 2005 through October 15, 2005, as Hispanic Heritage Month in the state of Michigan.Last Action: adopted"
HR 0116 of 2005,House Resolution,"A resolution to memorialize the President of the United States, the United States Congress, the appropriate federal agencies, the federal and New Jersey and New York State Courts, and the states of New Jersey and New York to exonerate, pardon, and provide restitution to Assata Shakur.
Last Action: referred to Committee on Government Operations"
HR 0117 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to reauthorize the Violence Against Women Act.
Last Action: referred to Committee on Judiciary"
HR 0118 of 2005,House Resolution,"A resolution to express opposition to any new or revised administrative rules that are more stringent than federal policies and that impede economic development and job creation.
Last Action: referred to Committee on Commerce"
HR 0119 of 2005,House Resolution,A resolution honoring 120 years of United Labor in the state of Michigan.Last Action: adopted
HR 0120 of 2005,House Resolution,A resolution declaring September 2005 as College Savings Month in the state of Michigan.Last Action: adopted
HR 0121 of 2005,House Resolution,"A resolution to memorialize the United States Congress to adopt and present to the states for ratification an amendment to the United States Constitution to prohibit the counting of illegal immigrants in the tabulations of population for purposes of apportioning members of Congress among the states.

Last Action: referred to Committee on Government Operations"
HR 0122 of 2005,House Resolution,A resolution congratulating the members and coaches of the Detroit Demolition upon the occasion of its National Women's Football Association Championship.Last Action: adopted
HR 0123 of 2005,House Resolution,"A resolution to commemorate September 20, 2005, as Take A Loved One To The Doctor Day in the state of Michigan.Last Action: adopted"
HR 0124 of 2005,House Resolution,"A resolution recognizing September 9, 2005, as Fetal Alcohol Spectrum Disorders Awareness Day and the month of September 2005 as Fetal Alcohol Spectrum Disorders Awareness Month in the state of Michigan.Last Action: adopted"
HR 0125 of 2005,House Resolution,"A resolution to urge the Department of Management and Budget and the Department of Transportation to ensure that state vehicles use biodiesel and ethanol fuels and that flexible fuel vehicles and American made hybrids be purchased to the fullest extent possible.
Last Action: referred to Committee on Agriculture"
HR 0126 of 2005,House Resolution,A resolution honoring the 20th anniversary of the Motown Historical Museum.Last Action: adopted
HR 0127 of 2005,House Resolution,"A resolution honoring the 70th anniversary of the United Automobile, Aerospace and Agricultural Implement Workers of America.Last Action: adopted"
HR 0128 of 2005,House Resolution,"A resolution to memorialize the President of the United States and the United States Congress to protect American consumers from exorbitant prices of gasoline.
Last Action: referred to Committee on Government Operations"
HR 0129 of 2005,House Resolution,A resolution designating September 2005 as Michigan Preparedness Month.Last Action: adopted
HR 0130 of 2005,House Resolution,"A resolution designating September 28th, 2005, as Antibiotic Awareness Day in the state of Michigan.Last Action: adopted"
HR 0131 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to provide full funding for the Specialty Crop Competitiveness Act.
Last Action: referred to Committee on Agriculture"
HR 0132 of 2005,House Resolution,"A resolution to memorialize the United States Congress to give preference to goods and services provided by American companies for the rebuilding efforts following Hurricane Katrina.
Last Action: referred to Committee on Government Operations"
HR 0133 of 2005,House Resolution,A resolution honoring EDS upon the occasion of its 20th anniversary of conducting business in the state of Michigan.Last Action: adopted
HR 0134 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to require that, whenever possible, countries receiving foreign aid be required to use those resources to purchase American goods and services.
Last Action: referred to Committee on Government Operations"
HR 0135 of 2005,House Resolution,"A resolution declaring September 26 through October 2, 2005, as Equal Parents' Week in the state of Michigan.Last Action: referred to Committee on Family and Children Services"
HR 0136 of 2005,House Resolution,A resolution declaring September 2005 as Pain Awareness Month in the state of Michigan.Last Action: adopted
HR 0137 of 2005,House Resolution,A resolution recognizing October 2005 as Polish Heritage Month in the state of Michigan.Last Action: adopted
HR 0138 of 2005,House Resolution,"A resolution recognizing October 8 through October15, 2005, as Binational Health Week in the state of Michigan.Last Action: adopted"
HR 0139 of 2005,House Resolution,"A resolution to encourage Michigan animal shelters and pounds to adopt a ""no-kill"" philosophy in dealing with homeless pets.
Last Action: referred to Committee on Government Operations"
HR 0140 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to incorporate a strategy of offsetting cuts to finance the cost of rebuilding the hurricane-damaged communities of the Gulf Coast.
Last Action: referred to Committee on Government Operations"
HR 0141 of 2005,House Resolution,"A resolution recognizing Oscoda, Michigan as the true birthplace of the legend of Paul Bunyan as first set in ink by James MacGillivray.Last Action: adopted"
HR 0142 of 2005,House Resolution,"A resolution to urge the Michigan Department of Education to ensure that school districts and students are not penalized because of problems with the distribution of MEAP test materials.
Last Action: referred to Committee on Education"
HR 0143 of 2005,House Resolution,"A resolution to urge the Great Lakes Regional Collaboration and the United States Congress to implement the Action Plan to Restore and Protect the Great Lakes.
Last Action: adopted"
HR 0144 of 2005,House Resolution,"A resolution honoring the life of Rosa Parks, who contributed to the betterment of the nation and all humanity.Last Action: adopted"
HR 0145 of 2005,House Resolution,"A resolution to memorialize the United States Congress to fully respect the sovereignty of Venezuela.
Last Action: motion to discharge committee rejected"
HR 0146 of 2005,House Resolution,"A resolution to memorialize the United States Congress to take steps to deport and extradite the mega-terrorist Luis Posada Carriles to the Bolivarian Republic of Venezuela.

Last Action: motion to discharge committee rejected"
HR 0147 of 2005,House Resolution,A resolution designating October 2005 as Reflex Sympathetic Dystrophy Syndrome Awareness Month in the state of Michigan.Last Action: adopted
HR 0148 of 2005,House Resolution,A resolution honoring the life of Mrs. Rosa Parks.Last Action: adopted
HR 0149 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to increase efforts to protect our borders.
Last Action: adopted"
HR 0150 of 2005,House Resolution,"A resolution wishing Muslims in Michigan and beyond a happy Eid al-Fitr, the celebration marking the end of the fasting month of Ramadan.Last Action: adopted"
HR 0151 of 2005,House Resolution,"A resolution to create a special committee on Medicaid reform and innovation to examine ways to improve the Medicaid program.
Last Action: House committee members named: Alma Smith, George Cushingberry, Andy Dillon, Doug Bennett"
HR 0152 of 2005,House Resolution,A resolution to amend the Standing Rules of the House of Representatives.Last Action: adopted
HR 0153 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to fund fully the Select Michigan agricultural program.
Last Action: referred to Committee on Government Operations"
HR 0154 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to enact measures that will positively impact the nation's manufacturing sector and working families.
Last Action: referred to Committee on Government Operations"
HR 0155 of 2005,House Resolution,A resolution honoring the immense contribution veterans of the U.S. armed services have made for our country and to our quality of life.Last Action: adopted
HR 0156 of 2005,House Resolution,"A resolution to urge the President and the Congress of the United States to oppose any tariffs on the export of United States corn to Canada.
Last Action: referred to Committee on Government Operations"
HR 0157 of 2005,House Resolution,"A resolution designating November 27 through December 3, 2005, as Fraud Awareness Week in the state of Michigan.Last Action: adopted"
HR 0158 of 2005,House Resolution,"A resolution to urge the Federal Emergency Management Agency to reject proposed revisions to floodplain elevation thresholds in St. Clair County.
Last Action: adopted"
HR 0159 of 2005,House Resolution,"A resolution of tribute offered as a memorial for Herb Kehrl, member of the House of Representatives.
Last Action: adopted by unanimous standing vote"
HR 0160 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States and the United States Department of State to increase aid and humanitarian assistance to the regions of Pakistan devastated by the earthquake of October 8, 2005.
Last Action: referred to Committee on Government Operations"
HR 0161 of 2005,House Resolution,"A resolution to urge the Department of Natural Resources and the Natural Resources Commission to designate the Lost Twin Lakes Pathway area in Roscommon County as an Old Growth Forest.
Last Action: adopted"
HR 0162 of 2005,House Resolution,"A resolution to memorialize the United States Congress to oppose the State Modernization and Regulatory Transparency (SMART) Act. 

Last Action: adopted"
HR 0163 of 2005,House Resolution,"A resolution to memorialize the President and the Congress of the United States to increase funding for home heating assistance to cope with the rise in natural gas costs expected this winter.
Last Action: referred to Committee on Government Operations"
HR 0164 of 2005,House Resolution,"A resolution to urge the Michigan Women's Commission to ensure that its programs and activities are strictly nonpartisan.
Last Action: referred to Committee on House Oversight, Elections, and Ethics"
HR 0165 of 2005,House Resolution,"A resolution to memorialize the President and the Congress of the United States to support policies that protect and encourage the cultural autonomy of the people of Macedonia.
Last Action: adopted"
HR 0166 of 2005,House Resolution,"A resolution to extend subpoena power to the House Government Operations Committee’s subcommittee to review the sale of the former Northville Psychiatric Hospital.
Last Action: referred to Committee on Government Operations"
HR 0167 of 2005,House Resolution,"A resolution to express the sense of the House of Representatives that the pending sale of the former Northville Psychiatric Hospital has not followed statutory requirements and to urge the Department of Management and Budget to reopen bidding on the property.
Last Action: referred to Committee on Government Operations"
HR 0168 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to enact bipartisan legislation that creates the position of Chief Trade Prosecutor within the Office of the U.S. Trade Representative to enforce our trade agreements and to eliminate the illegal trade practices of other countries.
Last Action: referred to Committee on Government Operations"
HR 0169 of 2005,House Resolution,"A resolution to memorialize Congress of the United States not to cut the food stamp program.

Last Action: referred to Committee on Government Operations"
HR 0170 of 2005,House Resolution,"A resolution acknowledging the character, capability, and commitment of Steve Mariucci.Last Action: adopted"
HR 0171 of 2005,House Resolution,"A resolution to memorialize the United States Senators of the state of Michigan to work for a prompt up-or-down vote on the nomination of Samuel A. Alito, Jr., to the United States Supreme Court.
Last Action: referred to Committee on Government Operations"
HR 0172 of 2005,House Resolution,"A resolution to memorialize the United States Congress to establish a program to recognize historic African-American sites.
Last Action: referred to Committee on Government Operations"
HR 0173 of 2005,House Resolution,"A resolution to amend the Standing Rules of the House of Representatives.
Last Action: referred to Committee on House Oversight, Elections, and Ethics"
HR 0174 of 2005,House Resolution,"A resolution to condemn statements made by the President of Iran against Israel and to call on the President of the Untied States to continue efforts with the United Nations to deal with threats from Iran against Israel.
Last Action: referred to Committee on Government Operations"
HR 0175 of 2005,House Resolution,"A resolution to express support for the Southeast Michigan WIRED project's designation for a grant through the United States Department of Labor.
Last Action: referred to Committee on Government Operations"
HR 0176 of 2005,House Resolution,"A resolution to memorialize the Congress of the United States to enact the Employee Free Choice Act.
Last Action: referred to Committee on Government Operations"
SR 0092 of 2006,Senate Resolution,"A resolution declaring February 6, 2006, as Ronald Reagan Day in the state of Michigan.Last Action: ADOPTED"
SR 0093 of 2006,Senate Resolution,"A resolution to declare February 1, 2006, as Jerome Bettis Day.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED COSPONSORS"
SR 0094 of 2006,Senate Resolution,"A resolution to memorialize the Congress of the United States to oppose the SMART Act and other preemptive federal insurance regulatory measures.
Last Action: ADOPTED AS SUBSTITUTED S-1"
SR 0095 of 2006,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact legislation reauthorizing the Ryan White CARE Act to provide comprehensive care for the neediest victims of HIV/AIDS.

Last Action: ADOPTED AS AMENDED"
SR 0096 of 2006,Senate Resolution,"A resolution to urge the United States Environmental Protection Agency to authorize the Office of Pesticide Programs to initiate rulemaking to ensure the sustainability of programs for recycling one-way plastic pesticide containers.
Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS"
SR 0097 of 2006,Senate Resolution,A resolution honoring the life and legacy of former Wayne County Executive Edward H. McNamara.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED COSPONSORS
SR 0098 of 2006,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact legislation, such as the Broadband Investment and Consumer Choice Act, which encourages innovation and investment in communications infrastructure and promotes competition in video, voice, and data services.Last Action: REFERRED TO COMMITTEE ON TECHNOLOGY AND ENERGY"
SR 0099 of 2006,Senate Resolution,A resolution designating September 2006 as Children's Internet Safety Month.Last Action: ADOPTED
SR 0100 of 2006,Senate Resolution,"A resolution to encourage the Michigan Department of Education and school districts to educate teachers and administrators on the dangers of methamphetamine so they may teach our students to avoid this growing community scourge.

Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SR 0101 of 2006,Senate Resolution,"A resolution to memorialize the United States Congress to provide funding to help states and local communities clean up and address the disastrous effects of clandestine methamphetamine labs.
Last Action: ADOPTED AS SUBSTITUTED S-2"
SR 0102 of 2006,Senate Resolution,"A resolution proclaiming March 5-11, 2006, as School Social Work Week.Last Action: ADOPTED"
SR 0103 of 2006,Senate Resolution,"A resolution to urge the Department of Natural Resources to work with the federal government and neighboring states to implement the most aggressive means of controlling the double-crested cormorant population pursuant to authority extended by the United States Fish and Wildlife Service.

Last Action: ADOPTED"
SR 0104 of 2006,Senate Resolution,"A resolution commemorating March 26, 2006, as Support Our Troops Day.Last Action: ADOPTED"
SR 0105 of 2006,Senate Resolution,"A resolution to memorialize the United States Congress to adopt and transmit to the states for ratification an amendment to the U.S. Constitution that would ensure that apportionment is based on citizens and not non-citizens.

Last Action:  ROLL CALL # 289 YEAS 30 NAYS 7 EXCUSED 1 NOT VOTING 0"
SR 0106 of 2006,Senate Resolution,"A resolution to memorialize the Congress of the United States to pass legislation to protect pensions.

Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SR 0107 of 2006,Senate Resolution,A resolution to recognize April 2006 as Youth Financial Literacy Month in the state of Michigan.Last Action: ADOPTED
SR 0108 of 2006,Senate Resolution,"A resolution to memorialize the United States Congress to add social studies to the testing requirements of the No Child Left Behind Act of 2001.

Last Action: ADOPTED"
SR 0109 of 2006,Senate Resolution,"A resolution to urge the United States District Court, Eastern District of Michigan, to decline a request to circumvent the regular contract approval process with regard to the Detroit Water and Sewerage Department.

Last Action:  ROLL CALL # 181 YEAS 23 NAYS 13 EXCUSED 1 NOT VOTING 1"
SR 0110 of 2006,Senate Resolution,"A resolution to recognize April 2-8, 2006, as Public Health Week in Michigan.Last Action: ADOPTED"
SR 0111 of 2006,Senate Resolution,"A resolution to urge the Department of Natural Resources and the Natural Resources Commission to designate the Lost Twin Lakes Pathway area in Roscommon County as an Old Growth Forest.
Last Action: REFERRED TO COMMITTEE ON AGRICULTURE, FORESTRY AND TOURISM"
SR 0112 of 2006,Senate Resolution,"A resolution commemorating Saturday, June 3, 2006, as Childhood Cancer Survivors Day in the state of Michigan.Last Action: ADOPTED"
SR 0113 of 2006,Senate Resolution,"A resolution commemorating March 31, 2006, as Terri's Day of Remembrance in Michigan.Last Action: ADOPTED"
SR 0114 of 2006,Senate Resolution,A resolution designating April 2006 as the Month of the Young Child.Last Action: ADOPTED
SR 0115 of 2006,Senate Resolution,A resolution recognizing May 2006 as Hearing Loss Awareness Month in the state of Michigan.Last Action: ADOPTED
SR 0116 of 2006,Senate Resolution,"A resolution commemorating November 9, 2006, as Whitwell Middle School's Children's Holocaust Memorial Day.Last Action: ADOPTED"
SR 0117 of 2006,Senate Resolution,"A resolution commemorating June 3-11, 2006, as Aquatic Invasive Species Awareness Week in Michigan.Last Action: ADOPTED"
SR 0118 of 2006,Senate Resolution,A resolution declaring April 2006 as Michigan Wine Month.Last Action: ADOPTED
SR 0119 of 2006,Senate Resolution,"A resolution to memorialize the Congress of the United States to fund fully the state activities mandated by the federal Real ID Act of 2005 and to establish effective federal regulations that protect the homeland while preserving liberty.

Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SR 0120 of 2006,Senate Resolution,A resolution commemorating May as Children's Mental Health Month in Michigan.Last Action: ADOPTED
SR 0121 of 2006,Senate Resolution,"A resolution to urge the United States Department of Homeland Security to continue to work with the states to coordinate driver's licenses with the new passport requirements to reenter the country from Canada.

Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SR 0122 of 2006,Senate Resolution,"A resolution designating April 29, 2006, as Dale Earnhardt Day in Michigan.Last Action: ADOPTED"
SR 0123 of 2006,Senate Resolution,"A resolution to memorialize the President of the United States and the United States Congress to take prompt action to provide relief from high gas prices and to call on the Governor of the State of Michigan to investigate potential effects of state government policies that may add to the price of gasoline in Michigan.
Last Action:  ROLL CALL # 266 YEAS 35 NAYS 2 EXCUSED 1 NOT VOTING 0"
SR 0124 of 2006,Senate Resolution,A resolution commemorating May 2006 as VSA arts of Michigan Month.Last Action: ADOPTED
SR 0125 of 2006,Senate Resolution,"A resolution observing National Drug Court Month during May 2006 and in celebration of the 52-2 Sobriety Court's inaugural commencement ceremony on May 4, 2006.Last Action: ADOPTED"
SR 0126 of 2006,Senate Resolution,A resolution to honor Michigan-1 Disaster Medical Assistance Team (DMAT) for their service in aiding hurricane victims.Last Action: ADOPTED
SR 0127 of 2006,Senate Resolution,"A resolution to request the Department of Community Health, the Department of Labor and Economic Growth, and the Department of History, Arts, and Libraries be added as co-chairs to the Michigan After-School Partnership, to urge the partnership to expand and add additional programs, and to urge the partnership to report on its progress in reaching its goals.
Last Action: ADOPTED"
SR 0128 of 2006,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact legislation to establish the position of Special Trade Prosecutor within the Office of the United States Trade Representative.

Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM"
SR 0129 of 2006,Senate Resolution,"A resolution to memorialize the Congress of the United States to require all finance companies doing business in Michigan to allow for up to 12 months of interest-only payments for persons who have lost their jobs due to outsourcing or bankruptcy.

Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM"
SR 0130 of 2006,Senate Resolution,"A resolution to memorialize the Congress of the United States to support S. 196, legislation designed to close a tax loophole rewarding the movement of U.S. manufacturing jobs overseas.
Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM"
SR 0131 of 2006,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact the Unfair Chinese Automotive Tariff Equalization Act.

Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM"
SR 0132 of 2006,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact H.R. 3157, the Currency Manipulation Prevention Act.

Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM"
SR 0133 of 2006,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact the United States Workers Protection Act.

Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM"
SR 0134 of 2006,Senate Resolution,"A resolution to urge the Democratic National Committee to consider Detroit as the host site for the 2008 Democratic National Convention.

Last Action: ADOPTED"
SR 0135 of 2006,Senate Resolution,A resolution commemorating the 24th Annual Metro Detroit Youth Day.Last Action: ADOPTED
SR 0136 of 2006,Senate Resolution,A resolution commemorating May 2006 as Bike Month in Michigan.Last Action: ADOPTED
SR 0137 of 2006,Senate Resolution,"A resolution honoring the life and memory of Charles Edward Taylor, the world's first airplane mechanic, and recognizing May 24, 2006, as Aviation Maintenance Technician Day.Last Action: ADOPTED"
SR 0138 of 2006,Senate Resolution,A resolution to commemorate the 50th Anniversary of the Northwestern Michigan College Barbecue.Last Action: ADOPTED
SR 0139 of 2006,Senate Resolution,"A resolution honoring the ThunderChickens, world champions in the FIRST Robotics Competition Championship.Last Action: ADOPTED"
SR 0140 of 2006,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact the Hearing Aid Tax Credit Act.

Last Action: REFERRED TO COMMITTEE ON FINANCE"
SR 0141 of 2006,Senate Resolution,A resolution proclaiming May 2006 as Hepatitis C Awareness Month in Michigan.Last Action: ADOPTED
SR 0142 of 2006,Senate Resolution,"A resolution commending Detective Gregory T. Huggett of the Battle Creek Police Department for his valor, continuing achievements, and selection on May 16, 2006, as recipient of the National Association of Police Organizations' TOP COPS® Award.Last Action: ADOPTED"
SR 0143 of 2006,Senate Resolution,"A resolution commemorating May 23, 2006, as Propane Awareness Day in Michigan.Last Action: ADOPTED"
SR 0144 of 2006,Senate Resolution,"A resolution commemorating June 7, 2006, as Michigan Trailways Day and June 2006 as Michigan Trailways Month.Last Action: ADOPTED"
SR 0145 of 2006,Senate Resolution,"A resolution designating June 6, 2006, as Ryan Newman Day in Michigan.Last Action: ADOPTED"
SR 0146 of 2006,Senate Resolution,A resolution encouraging the State Board of Education to incorporate suicide prevention and education as part of the state of Michigan's public school curriculum.Last Action: ADOPTED
SR 0147 of 2006,Senate Resolution,"A resolution observing September 18-24, 2006, as Pollution Prevention Week.Last Action: ADOPTED"
SR 0148 of 2006,Senate Resolution,"A resolution to recognize the Vietnamese Freedom and Heritage Flag as the flag of the Vietnamese-American community.

Last Action: ADOPTED"
SR 0149 of 2006,Senate Resolution,"A resolution proclaiming June 15, 2006, as Tanith Belbin and Ben Agosto Day in Michigan.Last Action: ADOPTED"
SR 0150 of 2006,Senate Resolution,"A resolution to memorialize the Congress of the United States and the United States Department of Education to require the testing of students on social science and civics literacy.
Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SR 0151 of 2006,Senate Resolution,"A resolution to memorialize the United States Postal Service and the United States Congress to keep open the Gaylord, Michigan, mail processing center.

Last Action: ADOPTED"
SR 0152 of 2006,Senate Resolution,"A resolution to memorialize Congress to support the National Cancer Institute's plan to eliminate suffering and death from cancer by the year 2015.

Last Action: ADOPTED"
SR 0153 of 2006,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact legislation directing the Architect of the Capitol to revise a group portrait statue to incorporate the likeness of Sojourner Truth.

Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SR 0154 of 2006,Senate Resolution,A resolution in recognition of the 2006 class of recreation and park professionals inducted into the Michigan Recreation and Park Association Hall of Fame.Last Action: ADOPTED
SR 0155 of 2006,Senate Resolution,A resolution in recognition of the inaugural class of recreation and park professionals inducted into the Michigan Recreation and Park Association Hall of Fame.Last Action: ADOPTED
SR 0156 of 2006,Senate Resolution,A resolution designating September 2006 as Life Insurance Awareness Month in Michigan.Last Action: ADOPTED
SR 0157 of 2006,Senate Resolution,A resolution honoring the 10th Anniversary of Michigan Government Television (MGTV) coverage of the Michigan Senate.Last Action: ADOPTED
