Document,Type,Description
HR 0257 of 2024,House Resolution,"A resolution to declare May 5-12, 2024, as Correctional Officers Week in the state of Michigan.Last Action: adopted"
HR 0258 of 2024,House Resolution,A resolution to declare May 2024 as ALS Awareness Month in the state of Michigan.Last Action: adopted
HR 0259 of 2024,House Resolution,A resolution to declare May 2024 as Foster Care Awareness Month in the state of Michigan.Last Action: adopted
HR 0260 of 2024,House Resolution,"A resolution to declare May 12-18, 2024, as Police Week in the state of Michigan.Last Action: adopted"
HR 0261 of 2024,House Resolution,A resolution to declare May 2024 as Klinefelter Syndrome Awareness Month in the state of Michigan.Last Action: adopted
HR 0262 of 2024,House Resolution,A resolution to commemorate the 70th anniversary of the Brown v. Board of Education Supreme Court decision.Last Action: adopted
HR 0263 of 2024,House Resolution,"A resolution to declare May 19-25, 2024, as Emergency Medical Services Week in the state of Michigan.Last Action: adopted"
HR 0264 of 2024,House Resolution,A resolution to declare May 2024 as Brain Tumor Awareness Month in the state of Michigan.Last Action: adopted
HR 0265 of 2024,House Resolution,"A resolution to declare May 22, 2024, as Cherry Industry Day in the state of Michigan.Last Action: adopted"
HR 0266 of 2024,House Resolution,"A resolution to declare May 20-27, 2024, as Michigan Beach Safety Week in the state of Michigan.Last Action: adopted"
HR 0267 of 2024,House Resolution,"A resolution to declare May 23, 2024, as Stop the Bleed Day in the state of Michigan.Last Action: adopted"
HR 0268 of 2024,House Resolution,"A resolution to declare May 25, 2024, as Africa Day in the state of Michigan.Last Action: adopted"
HR 0269 of 2024,House Resolution,"A resolution to urge the United States Secretary of Homeland Security, in consultation with the United States Secretary of State, to suspend or terminate Chile’s participation in the Visa Waiver Program.Last Action: referred to Committee on Government Operations"
HR 0270 of 2024,House Resolution,A resolution to oppose illegal immigration and express support for legal immigration.Last Action: referred to Committee on Government Operations
HR 0271 of 2024,House Resolution,A resolution to declare June 2024 as Dairy Month in the state of Michigan.Last Action: adopted
HR 0272 of 2024,House Resolution,"A resolution to declare June 7, 2024, as Gun Violence Awareness Day in the state of Michigan.Last Action: adopted"
HR 0273 of 2024,House Resolution,"A resolution to declare June 1-7, 2024, as CPR and AED Awareness Week in the state of Michigan.Last Action: adopted"
HR 0274 of 2024,House Resolution,A resolution to declare June 2024 as Professional Pest Management Month in the state of Michigan.Last Action: adopted
HR 0275 of 2024,House Resolution,"A resolution to declare June 15, 2024, as World Elder Abuse Awareness Day in the state of Michigan.Last Action: adopted"
HR 0276 of 2024,House Resolution,"A resolution to declare June 11, 2024, as Humanities Day in the state of Michigan.Last Action: adopted"
HR 0277 of 2024,House Resolution,"A resolution of tribute offered as a memorial for Paul E. Muxlow, former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
HR 0278 of 2024,House Resolution,A resolution to urge the United States Congress to pass legislation temporarily freezing the Adverse Effect Wage Rate for the H-2A Temporary Agricultural Workers Program.Last Action: referred to Committee on Government Operations
HR 0279 of 2024,House Resolution,"A resolution to declare June 2024 as Lesbian, Gay, Bisexual, Transgender, and Queer (LGBTQ+) Pride Month in the state of Michigan.Last Action: adopted"
HR 0280 of 2024,House Resolution,A resolution to express our commitment to strengthening and deepening ties between the state of Michigan and Taiwan.Last Action: adopted
HR 0281 of 2024,House Resolution,"A resolution to declare June 13, 2024, as CVI Day in the state of Michigan.Last Action: adopted"
HR 0282 of 2024,House Resolution,"A resolution to declare June 17, 2024, as Black Men Awareness Day in the state of Michigan.Last Action: adopted"
HR 0283 of 2024,House Resolution,"A resolution to urge the President of the United States to reinstate the Migrant Protection Protocols, also known as the Remain in Mexico program, for processing migrants, including asylum-seekers, attempting to enter the United States from Mexico.Last Action: referred to Committee on Government Operations"
HR 0284 of 2024,House Resolution,A resolution to declare June 2024 as National Post-Traumatic Stress Disorder Awareness Month in the state of Michigan.Last Action: adopted
HR 0285 of 2024,House Resolution,A resolution to urge the United States Congress to pass the Kidney Patient Access to Technologically Innovative and Essential Nephrology Treatments (PATIENT) Act of 2023.Last Action: referred to Committee on Government Operations
HR 0286 of 2024,House Resolution,"A resolution to declare June 19, 2024, as Sickle Cell Awareness Day in Michigan.Last Action: adopted"
HR 0287 of 2024,House Resolution,"A resolution to declare June 20, 2024, as World Refugee Day in the state of Michigan.Last Action: adopted"
HR 0288 of 2024,House Resolution,A resolution to urge Congress to repeal the William D. Ford Federal Direct Loan Program.Last Action: referred to Committee on Government Operations
HR 0289 of 2024,House Resolution,"A resolution to declare June 27, 2024, as Public Employee Freedom Day in the state of Michigan.Last Action: referred to Committee on Government Operations"
HR 0290 of 2024,House Resolution,A resolution to declare July 2024 as Cleft and Craniofacial Awareness Month in the state of Michigan.Last Action: adopted
HR 0291 of 2024,House Resolution,No description available.Last Action: adopted by unanimous standing vote
HR 0292 of 2024,House Resolution,"A resolution of tribute offered as a memorial for Michael Griffin, former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
HR 0293 of 2024,House Resolution,No description available.Last Action: adopted by unanimous standing vote
HR 0294 of 2024,House Resolution,A resolution to declare September 2024 as Deaf Awareness Month in the state of Michigan.Last Action: adopted
HR 0295 of 2024,House Resolution,"A resolution to declare September 21-28, 2024, as Trails Week in the state of Michigan.Last Action: adopted"
HR 0296 of 2024,House Resolution,A resolution to commemorate the 50th anniversary of the signing of Michigan Indian Day.Last Action: adopted
HR 0297 of 2024,House Resolution,"A resolution to declare September 11-17, 2024, as Patriot Week in the state of Michigan.Last Action: adopted"
HR 0298 of 2024,House Resolution,"A resolution to declare September 16-20, 2024, as Septic Smart Week in the state of Michigan.Last Action: adopted"
HR 0299 of 2024,House Resolution,"A resolution to declare October 5-12, 2024, as Student Athlete Mental Health Week in the state of Michigan.Last Action: adopted"
HR 0300 of 2024,House Resolution,A resolution to declare September 2024 as Canine Companions Month in the state of Michigan.Last Action: adopted
HR 0301 of 2024,House Resolution,No description available.Last Action: adopted
HR 0302 of 2024,House Resolution,"A resolution to declare September 15-October 15, 2024, as Hispanic Heritage Month in the state of Michigan.Last Action: adopted"
HR 0303 of 2024,House Resolution,A resolution to declare October 2024 as Menopause Awareness Month in the state of Michigan.Last Action: adopted
HR 0304 of 2024,House Resolution,A resolution to condemn the recent rise in antisemitic incidents.Last Action: referred to Committee on Judiciary
HR 0305 of 2024,House Resolution,"A resolution of tribute offered as a memorial for Joseph P. Swallow, former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
HR 0306 of 2024,House Resolution,A resolution to commemorate the 175th anniversary of Eastern Michigan University.Last Action: adopted
HR 0307 of 2024,House Resolution,A resolution to declare October 2024 as Domestic Violence Awareness Month in the state of Michigan.Last Action: adopted
HR 0308 of 2024,House Resolution,"A resolution of tribute offered as a memorial for Mary Ellen Parrott, former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
HR 0309 of 2024,House Resolution,A resolution to declare November 2024 as Family Court Awareness Month in the state of Michigan.Last Action: adopted
HR 0310 of 2024,House Resolution,"A resolution calling on Heidi Washington, Director of the Michigan Department of Corrections, to resign.Last Action: referred to Committee on Government Operations"
HR 0311 of 2024,House Resolution,A resolution to declare December 2024 as War Dogs Month in the state of Michigan.Last Action: adopted
HR 0312 of 2024,House Resolution,"A resolution to declare December 9-15, 2024, as Computer Science Week in the state of Michigan.Last Action: adopted"
HR 0313 of 2024,House Resolution,A resolution to declare October 2024 as Disability Employment Awareness Month in the state of Michigan.Last Action: adopted
HR 0314 of 2024,House Resolution,A resolution to recognize the life and impact of Lillie Lester as the first woman and first Black woman to ever serve as a legislative sergeant-at-arms in the United States.Last Action: adopted
HR 0315 of 2024,House Resolution,A resolution of tribute for the Honorable Robert J. Bezotte.Last Action: adopted
HR 0316 of 2024,House Resolution,A resolution of tribute for the Honorable Graham Filler.Last Action: adopted
HR 0317 of 2024,House Resolution,A resolution of tribute for the Honorable Neil Friske.Last Action: adopted
HR 0318 of 2024,House Resolution,A resolution of tribute for the Honorable Rachel Hood.Last Action: adopted
HR 0319 of 2024,House Resolution,A resolution of tribute for the Honorable Dale Zorn.Last Action: adopted
HR 0320 of 2024,House Resolution,A resolution of tribute to for the Honorable Andrew Beeler.Last Action: referred to Committee on Government Operations
HR 0321 of 2024,House Resolution,A resolution of tribute for the Honorable Andrew Fink.Last Action: referred to Committee on Government Operations
HR 0322 of 2024,House Resolution,A resolution of tribute for the Honorable Jenn Hill.Last Action: referred to Committee on Government Operations
HR 0323 of 2024,House Resolution,A resolution of tribute for the Honorable Christine Morse.Last Action: referred to Committee on Government Operations
HR 0324 of 2024,House Resolution,A resolution of tribute for the Honorable Nate Shannon.Last Action: referred to Committee on Government Operations
HR 0325 of 2024,House Resolution,"A resolution to declare December 19, 2024, as PANS and PANDAS Awareness Day in the state of Michigan.Last Action: referred to Committee on Government Operations"
HR 0326 of 2024,House Resolution,A resolution of tribute for the Honorable Abraham Aiyash.Last Action: referred to Committee on Government Operations
HR 0327 of 2024,House Resolution,"A resolution of tribute to the Honorable Felicia Brabec, Ph.D.Last Action: referred to Committee on Government Operations"
HR 0328 of 2024,House Resolution,A resolution of tribute for the Honorable Jaime Churches.Last Action: referred to Committee on Government Operations
HR 0329 of 2024,House Resolution,A resolution of tribute for the Honorable Jim Haadsma.Last Action: referred to Committee on Government Operations
HR 0330 of 2024,House Resolution,A resolution to honor the Cass Tech High School Football Team for winning the state championship.Last Action: referred to Committee on Government Operations
HR 0331 of 2024,House Resolution,"A resolution to declare December 16-20, 2024, as NCSL Week in the state of Michigan.Last Action: referred to Committee on Government Operations"
