Document,Type,Description
SR 0170 of 2012,Senate Resolution,"A resolution recognizing September 9-15, 2012, as Home Education Week in the state of Michigan.Last Action: ADOPTED"
SR 0171 of 2012,Senate Resolution,A resolution recognizing September 2012 as Sickle Cell Disease Awareness Month in the state of Michigan.Last Action: ADOPTED
SR 0172 of 2012,Senate Resolution,"A resolution proclaiming October 20, 2012, as Willis Ward Day in the state of Michigan.Last Action: ADOPTED"
SR 0173 of 2012,Senate Resolution,"A resolution to declare September 19, 2012, as No Texting While Driving - Pledge Day in the state of Michigan.Last Action: ADOPTED"
SR 0174 of 2012,Senate Resolution,"A resolution designating September 21, 2012, as POW/MIA Recognition Day in the state of Michigan.Last Action: ADOPTED"
SR 0175 of 2012,Senate Resolution,"A resolution to proclaim October 13-20, 2012, as Cooperative Week in the state of Michigan.Last Action: ADOPTED"
HR 0175 of 2012,House Resolution,"A resolution to urge the United States Department of Defense to maintain its plan to deliver no fewer than four C-27J aircraft to the 110th Airlift Wing of the Air National Guard in Battle Creek.

Last Action: adopted"
HR 0176 of 2012,House Resolution,A resolution to declare January 2012 as Blood Donor Month in the state of Michigan.Last Action: adopted
SR 0176 of 2012,Senate Resolution,"A resolution to proclaim October 7, 2012, as Lions Day in the state of Michigan.Last Action: ADOPTED"
SR 0177 of 2012,Senate Resolution,"A resolution recognizing October 8-12, 2012, as Turn Up the H.E.A.T. Week in the state of Michigan.Last Action: ADOPTED"
HR 0177 of 2012,House Resolution,"A resolution to declare January 2012 as School Board Recognition Month in the state of Michigan.
Last Action: adopted"
HR 0178 of 2012,House Resolution,"A resolution to memorialize Congress to enact the ""Recreational Fishing and Hunting Heritage and Opportunities Act.""

Last Action: adopted"
SR 0178 of 2012,Senate Resolution,"A resolution declaring October 23, 2012, as StoneCrest Center Mental Health Awareness Day in Michigan.Last Action: ADOPTED"
SR 0179 of 2012,Senate Resolution,"A resolution to declare October 15-19, 2012, as Credit Union Week in the state of Michigan.Last Action: ADOPTED"
HR 0179 of 2012,House Resolution,A resolution to declare January 2012 as Radon Action Month in the state of Michigan.Last Action: adopted
HR 0180 of 2012,House Resolution,"A resolution to declare January 29-February 5, 2012, as Catholic Schools Week in the state of Michigan.Last Action: adopted"
SR 0180 of 2012,Senate Resolution,A resolution honoring Michigan's veterans on the occasion of Veterans Day 2012.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
SR 0181 of 2012,Senate Resolution,"A resolution to express support for an amendment to the Patient Protection and Affordable Care Act that will allow insurance companies to consider Health Savings Account contributions toward the payment of benefits and premiums in the medical loss ratio calculation.

Last Action: ADOPTED"
HR 0181 of 2012,House Resolution,"A resolution to declare February 3, 2012, as Wear Red Day in the state of Michigan.Last Action: adopted"
HR 0182 of 2012,House Resolution,A resolution to declare February 2012 as Heart Month in the state of Michigan.Last Action: adopted
SR 0182 of 2012,Senate Resolution,"A resolution declaring Friday, December 7, 2012, as Pearl Harbor Remembrance Day in the state of Michigan.Last Action: ADOPTED"
SR 0183 of 2012,Senate Resolution,"A resolution of tribute for the Honorable John J. Gleason.

Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
HR 0183 of 2012,House Resolution,A resolution to commemorate the 175th anniversary of Michigan's statehood.Last Action: adopted
HR 0184 of 2012,House Resolution,"A resolution to declare February 23, 2012, as Conductive Education Day in the state of Michigan.Last Action: adopted"
HR 0185 of 2012,House Resolution,"A resolution to memorialize Congress to enact the Respect for Rights of Conscience Act of 2011 and to urge the President of the United States to reverse the Department of Health and Human Services regulation that violates religious liberties and forces almost every private health plan in the country to include coverage for services that are contrary to the religious beliefs and practices of certain faiths.

Last Action:  Roll Call # 56 Yeas 67 Nays 39"
HR 0186 of 2012,House Resolution,A resolution to declare February 2012 as School Principals Month in the state of Michigan.Last Action: adopted
HR 0187 of 2012,House Resolution,"A resolution to urge the United States Department of Agriculture to keep open the Farm Service Agency office in Kalamazoo County.

Last Action: adopted"
HR 0188 of 2012,House Resolution,"A resolution to declare February 22, 2012, as Peace and Healing Day in the state of Michigan.Last Action: adopted"
HR 0189 of 2012,House Resolution,"A resolution of gratitude to the people of the state of Michigan, the people of the United States of America, the President and Congress for their continued support of the domestic automobile industry.Last Action: motion to discharge committee postponed for day"
HR 0190 of 2012,House Resolution,A resolution to declare February 2012 as Cancer Prevention Month in the state of Michigan.Last Action: adopted
HR 0191 of 2012,House Resolution,"A resolution to declare April 21-28, 2012, as Money Smart Week in the state of Michigan.Last Action: adopted"
HR 0192 of 2012,House Resolution,"A resolution to urge the Department of Natural Resources and the Department of Environmental Quality to increase their commitment to the preservation of shipwrecks and artifacts in the Great Lakes in a manner that keeps this work and any artifacts within Michigan.

Last Action: adopted"
HR 0193 of 2012,House Resolution,"A resolution to urge the Governor to work with Michigan's universities and historic preservation groups, the Consulate General of France in Chicago, and the Great Lakes Exploration Group to develop a public-private partnership to ensure that the archaeological efforts to locate and preserve the artifacts of the Griffin remain entirely a Michigan-based project.

Last Action: referred to Committee on Natural Resources, Tourism, and Outdoor Recreation"
HR 0194 of 2012,House Resolution,A resolution to commemorate the 100th anniversary of the Girl Scouts.Last Action: adopted
HR 0195 of 2012,House Resolution,"A resolution to memorialize the Congress of the United States to enact legislation to ensure that amounts credited to the Harbor Maintenance Trust Fund are used solely for the dredging, infrastructure, operation, and maintenance of federally authorized ports.

Last Action: adopted"
HR 0196 of 2012,House Resolution,"A resolution to declare March 2, 2012, as Read Across America Day in the state of Michigan.Last Action: adopted"
HR 0197 of 2012,House Resolution,"A resolution to declare February 26-March 3, 2012 as Eating Disorder Awareness Week in the state of Michigan.Last Action: adopted"
HR 0198 of 2012,House Resolution,A resolution to declare March 2012 as Reading Month in the state of Michigan.Last Action: adopted
HR 0199 of 2012,House Resolution,"A resolution to declare May 1, 2012, as Law Day in the state of Michigan.Last Action: adopted"
HR 0200 of 2012,House Resolution,"A resolution to declare March 21, 2012, as Paralyzed Veterans Awareness Day in the state of Michigan.Last Action: adopted"
HR 0201 of 2012,House Resolution,A resolution to amend the Standing Rules of the House of Representatives.Last Action: adopted
HR 0202 of 2012,House Resolution,A resolution to declare March 2012 as Vitamin D Awareness Month in the state of Michigan.Last Action: referred to Committee on Health Policy
HR 0203 of 2012,House Resolution,"A resolution to urge the Federal Emergency Management Agency to give communities the option of continuing to use older flood maps.

Last Action: referred to Committee on Insurance"
HR 0204 of 2012,House Resolution,A resolution to declare March 2012 as Red Cross Month in the state of Michigan.Last Action: adopted
HR 0205 of 2012,House Resolution,A resolution to declare March 2012 as Colorectal Cancer Awareness Month in the state of Michigan.Last Action: adopted
HR 0206 of 2012,House Resolution,"A resolution to declare March 1-7, 2012, as Choir Therapy Awareness Week in Michigan.Last Action: adopted"
HR 0207 of 2012,House Resolution,"A resolution of tribute offered as a memorial for Nelis J. Saunders, former member of the House of Representatives.

Last Action: adopted by unanimous standing vote"
HR 0208 of 2012,House Resolution,"A resolution to declare March 12, 2012, as Girl Scout Day in the state of Michigan.Last Action: adopted"
HR 0209 of 2012,House Resolution,"A resolution to declare March 14, 2012, as Agriculture Day in the state of Michigan.Last Action: adopted"
HR 0210 of 2012,House Resolution,"A resolution to declare March 12-16, 2012, as Multiple Sclerosis Awareness Week in the state of Michigan.Last Action: adopted"
HR 0211 of 2012,House Resolution,"A resolution to urge the Congress of the United States to reject the recommendations of the United States Department of Defense to remove the A-10 Thunderbolt II force from the 127th Wing of the Air National Guard at Selfridge Air National Guard Base.

Last Action: adopted"
HR 0212 of 2012,House Resolution,"A resolution to declare March 26-30, 2012, as Graduate Education Week in the state of Michigan.Last Action: adopted"
HR 0213 of 2012,House Resolution,"A resolution to declare April 2012 as Multiple Birth Awareness Month in the state of Michigan.
Last Action: adopted"
HR 0214 of 2012,House Resolution,A resolution to declare May 2012 as Motorcycle Safety Awareness Month in the state of Michigan.Last Action: adopted
HR 0215 of 2012,House Resolution,"A resolution to express support for the 2012 United States Air Force Re-Missioning Plan to locate an MQ-1/9 RSO element at the Battle Creek Air National Guard Base in Battle Creek, Michigan.

Last Action: adopted"
HR 0216 of 2012,House Resolution,"A resolution to declare March 18-24, 2012,  as Poison Prevention Week in the state of Michigan.Last Action: adopted"
HR 0217 of 2012,House Resolution,A resolution to declare April 2012 as Junior Achievement Financial Literacy Month in the state of Michigan.Last Action: adopted
HR 0218 of 2012,House Resolution,"A resolution to memorialize Congress to fund the Facility for Rare Isotope Beams (FRIB) at Michigan State University to its full scheduled appropriation level.

Last Action: adopted"
HR 0219 of 2012,House Resolution,A resolution to declare March 2012 as Women and Girls HIV/AIDS Awareness Month in the state of Michigan.Last Action: adopted
HR 0220 of 2012,House Resolution,A resolution to declare April 2012 as Autism Awareness Month in the state of Michigan.Last Action: adopted
HR 0221 of 2012,House Resolution,"A resolution to declare March 25-31, 2012, as STEM Awareness Week in the state of Michigan.Last Action: adopted"
HR 0222 of 2012,House Resolution,A resolution to declare April 2012 as Sexual Assault Awareness and Prevention Month in the state of Michigan.Last Action: adopted
HR 0223 of 2012,House Resolution,"A resolution to express support for access to preventive health care services, including contraception, for all women and to strongly support insurance coverage of contraception without co-pays and cost-sharing.

Last Action: referred to Committee on Health Policy"
HR 0224 of 2012,House Resolution,A resolution to declare March 2012 as Women's History Month in the state of Michigan.Last Action: adopted
HR 0225 of 2012,House Resolution,"A resolution to declare April 27, 2012, as Viral Hepatitis Awareness Day in the state of Michigan.Last Action: adopted"
HR 0226 of 2012,House Resolution,A resolution to declare April 2012 as Child Abuse Prevention Month in the state of Michigan.Last Action: adopted
HR 0227 of 2012,House Resolution,"A resolution to memorialize Congress to reject the President's budget proposal to eliminate the search-and-rescue U.S. Coast Guard helicopter unit in Muskegon County and to restructure the Traverse City Air Station.

Last Action: adopted"
HR 0228 of 2012,House Resolution,"A resolution to implore the Michigan Department of Treasury to conduct a financial review of the Michigan Catastrophic Claims Association (MCCA) to consider the appointment of an emergency financial manager.

Last Action: referred to Committee on Insurance"
HR 0229 of 2012,House Resolution,"A resolution to declare April 17, 2012, as Pay Equity Day in the state of Michigan.Last Action: referred to Committee on Commerce"
HR 0230 of 2012,House Resolution,"A resolution to declare April 28, 2012, as Save The Frogs Day in the state of Michigan.Last Action: adopted"
HR 0231 of 2012,House Resolution,"A resolution to declare April 16, 2012, as World Voice Day in the state of Michigan.Last Action: adopted"
HR 0232 of 2012,House Resolution,"A resolution to declare April 18, 2012, as Holocaust Remembrance Day in the state of Michigan.Last Action: adopted"
HR 0233 of 2012,House Resolution,"A resolution to declare April 22, 2012, as Earth Day in the state of Michigan.Last Action: adopted"
HR 0234 of 2012,House Resolution,A resolution to declare April 2012 as Safe Digging Month in the state of Michigan.Last Action: adopted
HR 0235 of 2012,House Resolution,"A resolution to declare April 22-29, 2012, as Drug Take Back Awareness Week in the state of Michigan.Last Action: adopted"
HR 0236 of 2012,House Resolution,A resolution to commemorate the 95th anniversary of the Michigan State Police.Last Action: adopted
HR 0237 of 2012,House Resolution,"A resolution to urge the Governor to implement and fund the necessary programs to support his Special Message on Public Safety.

Last Action: referred to Committee on Government Operations"
HR 0238 of 2012,House Resolution,"A resolution to urge the Michigan Board of State Canvassers to protect the rights of the people under the Constitution of the State of Michigan of 1963 and certify the petition calling for a referendum on Public Act 4 of 2011.

Last Action: referred to Committee on Government Operations"
HR 0239 of 2012,House Resolution,"A resolution to declare May 12, 2012, as Fibromyalgia Awareness Day in the state of Michigan.Last Action: adopted"
HR 0240 of 2012,House Resolution,A resolution to declare April 2012 as Occupational Therapy Month in the state of Michigan.Last Action: adopted
HR 0241 of 2012,House Resolution,A resolution to declare April 2012 as Parkinson's Awareness Month in the state of Michigan.Last Action: adopted
HR 0242 of 2012,House Resolution,A resolution to declare May 2012 as Student Athlete Cardiac Awareness Month in the state of Michigan.Last Action: adopted
HR 0243 of 2012,House Resolution,A resolution to declare May 2012 as Children's Mental Health Month in the state of Michigan.Last Action: adopted
HR 0244 of 2012,House Resolution,"A resolution to declare May 6-12, 2012, as Nurses Week in the state of MichiganLast Action: adopted"
HR 0245 of 2012,House Resolution,A resolution to declare May 2012 as Mental Health Awareness Month in the state of Michigan.Last Action: adopted
HR 0246 of 2012,House Resolution,A resolution to declare May 2012 as Lyme Disease Awareness Month in the state of Michigan.Last Action: adopted
HR 0247 of 2012,House Resolution,"A resolution to declare April 30-May 6, 2012, as Screen-Free Week in the state of Michigan.Last Action: adopted"
HR 0248 of 2012,House Resolution,A resolution to declare May 2012 as Lupus Awareness Month in the state of Michigan.Last Action: adopted
HR 0249 of 2012,House Resolution,"A resolution to declare May 16, 2012, as High School Radio Day in the state of Michigan.Last Action: adopted"
HR 0250 of 2012,House Resolution,"A resolution to declare May 4, 2012, as Stand for Change Day in the state of Michigan.Last Action: adopted"
HR 0251 of 2012,House Resolution,"A resolution to urge the Michigan High School Athletic Association to adopt a maximum age eligibility waiver for students with disabilities.

Last Action: referred to Committee on Education"
HR 0252 of 2012,House Resolution,"A resolution to declare May 3, 2012, as Community College Day in the state of Michigan.Last Action: adopted"
HR 0253 of 2012,House Resolution,"A resolution to declare May 21-27, 2012, as AMBER Alert Awareness Week in the state of Michigan.Last Action: adopted"
HR 0254 of 2012,House Resolution,A resolution to declare May 2012 as Criminal Consequence Awareness Month in the state of Michigan.Last Action: adopted
HR 0255 of 2012,House Resolution,A resolution to commemorate the Mental Health Association in Michigan on its 75th anniversary.Last Action: adopted
HR 0256 of 2012,House Resolution,"A resolution to memorialize the President of the United States and the United States Secretary of Agriculture to declare the Southwest Michigan fruit-growing region a disaster area in the wake of weather conditions that have devastated grape production.

Last Action: adopted"
HR 0257 of 2012,House Resolution,"A resolution to declare May 12, 2012, as Train Day in the state of Michigan.Last Action: adopted"
HR 0258 of 2012,House Resolution,"A resolution to declare May 7-11, 2012, as PTA Teacher Appreciation Week in the state of Michigan.Last Action: adopted"
HR 0259 of 2012,House Resolution,"A resolution to urge local units of government experiencing financial stress or a financial emergency to use the MiDEAL program for all purchases and with an emphasis on purchasing from Michigan-based businesses.

Last Action: referred to Committee on Local, Intergovernmental, and Regional Affairs"
HR 0260 of 2012,House Resolution,A resolution to declare May 2012 as Bike Month in the state of Michigan.Last Action: adopted
HR 0261 of 2012,House Resolution,A resolution to congratulate the Republic of China (Taiwan) on its 20th anniversary of participating in the Asia-Pacific Economic Cooperation forum.Last Action: adopted
HR 0262 of 2012,House Resolution,"A resolution to declare May 13-19, 2012, as InfantSee Week in the state of Michigan.Last Action: adopted"
HR 0263 of 2012,House Resolution,"A resolution to declare June 9, 2012, as Michigan Flower Planting Day in the state of Michigan.Last Action: adopted"
HR 0264 of 2012,House Resolution,"A resolution to memorialize the President of the United States and the United States Secretary of Agriculture to monitor closely the conditions of Northwest and North Central Michigan's fruit crop to determine if disaster assistance is needed.

Last Action: adopted"
HR 0265 of 2012,House Resolution,"A resolution to memorialize Congress and the President of the United States to continue funding for the Microbiological Data Program in the FY 2013 federal budget.

Last Action: adopted"
HR 0266 of 2012,House Resolution,A resolution to commemorate the 375th anniversary of the birth of Jacques Marquette.Last Action: adopted
HR 0267 of 2012,House Resolution,A resolution to commemorate the 200th anniversary of the War of 1812.Last Action: adopted
HR 0268 of 2012,House Resolution,"A resolution to declare May 16, 2012, as Hereditary Angioedema Awareness Day in the state of Michigan.Last Action: adopted"
HR 0269 of 2012,House Resolution,"A resolution to urge Congress to extend the 3.4 percent federal Stafford student loan rates and avoid a doubling of those rates to 6.8 percent on July 1st.

Last Action: referred to Committee on Education"
HR 0270 of 2012,House Resolution,"A resolution to declare May 13-19, 2012, as Food Allergy Awareness Week in the state of Michigan.Last Action: adopted"
HR 0271 of 2012,House Resolution,"A resolution to declare May 13-19, 2012, as Police Week in the state of Michigan.Last Action: adopted"
HR 0272 of 2012,House Resolution,"A resolution to declare May 17, 2012, as Chaldean American Day in the state of Michigan.Last Action: adopted"
HR 0273 of 2012,House Resolution,"A resolution to declare June 2, 2012, as Service Day in the state of MichiganLast Action: adopted"
HR 0274 of 2012,House Resolution,A resolution to commemorate the Commanders Club of Michigan on its 50th anniversary.Last Action: adopted
HR 0275 of 2012,House Resolution,A resolution to declare May 2012 as Skin Cancer Awareness Month in the state of Michigan.Last Action: adopted
HR 0276 of 2012,House Resolution,"A resolution to request the Department of Human Services to immediately review the outstanding or delinquent reimbursement requests from child placement agencies.

Last Action: referred to Committee on Families, Children, and Seniors"
HR 0277 of 2012,House Resolution,"A resolution to declare May 31, 2012, as Community Action Agency Day in the state of Michigan.Last Action: adopted"
HR 0278 of 2012,House Resolution,"A resolution to memorialize Congress to enact legislation to make participation in the American Community Survey voluntary.

Last Action: referred to Committee on Oversight, Reform, and Ethics"
HR 0279 of 2012,House Resolution,"A resolution to declare June 2, 2012, as Childhood Cancer Survivors Day in the state of Michigan.Last Action: adopted"
HR 0280 of 2012,House Resolution,"A resolution to declare May 25, 2012, as Hispanic Senior Citizens Day in the state of Michigan.Last Action: adopted"
HR 0281 of 2012,House Resolution,"A resolution in support of naming a new United States Navy Littoral Combat Ship for Battle Creek, Michigan.Last Action: adopted"
HR 0282 of 2012,House Resolution,"A resolution to declare May 30, 2012, as Legacy Scholars Day in the state of Michigan.Last Action: adopted"
HR 0283 of 2012,House Resolution,"A resolution to declare May 2012 as Foster Care Awareness Month in the state of Michigan.
Last Action: adopted"
HR 0284 of 2012,House Resolution,"A resolution to declare May 31, 2012, as Silo Safety Awareness Day in the state of Michigan.Last Action: adopted"
HR 0285 of 2012,House Resolution,"A resolution to declare June 9-17, 2012, as Aquatic Invasive Species Awareness Week in the state of Michigan.Last Action: adopted"
HR 0286 of 2012,House Resolution,"A resolution to declare June 2, 2012, as Trails Day in the state of Michigan.Last Action: adopted"
HR 0287 of 2012,House Resolution,"A resolution to  declare June 17-23, 2012, as Amateur Radio Week in the state of Michigan.Last Action: adopted"
HR 0288 of 2012,House Resolution,"A resolution to declare June 18-24, 2012, as Pollinator Week in the state of Michigan.Last Action: adopted"
HR 0289 of 2012,House Resolution,A resolution to commemorate the 68th Anniversary of D-Day and all of the Allied forces who fought along the beaches of Normandy so that Europe might be free from the bonds of tyranny and oppression.Last Action: adopted
HR 0290 of 2012,House Resolution,A resolution to declare July 2012 as Craft Beer Month in the state of Michigan.Last Action: adopted
HR 0291 of 2012,House Resolution,"A resolution to declare June 12, 2012, as Dairy Foods Awareness Day in the state of Michigan.
Last Action: adopted"
HR 0292 of 2012,House Resolution,"A resolution to declare June 25-29, 2012, as Service Disabled Veterans Business Awareness Week in the state of Michigan.Last Action: adopted"
HR 0293 of 2012,House Resolution,"A resolution to offer best wishes to Muslims in Michigan and worldwide on the joyous and meaningful observance of Ramadan, a month of reflection and prayer.Last Action: adopted"
HR 0294 of 2012,House Resolution,"A resolution to urge the President of the United States to declare a major disaster or emergency for areas in Michigan's Upper Peninsula impacted by the Duck Lake wildfire.

Last Action: adopted"
HR 0295 of 2012,House Resolution,"A resolution to declare July 11, 2012, as Srebrenica Remembrance Day and July 11-18, 2012, as Bosnia and Herzegovina Tribute Week in the state of Michigan.Last Action: adopted"
HR 0296 of 2012,House Resolution,A resolution to recognize and honor the ten Michigan residents who will join with athletes from around the country in representing the United States at the 2012 Summer Olympics.Last Action: adopted
HR 0297 of 2012,House Resolution,"A resolution to urge the Department of Natural Resources and the Michigan Attorney General to work with the appropriate federal authorities and employ all available resources to investigate alleged price fixing and collusion among natural gas developers, and vigorously pursue damages to which the State of Michigan and impacted citizens are entitled.

Last Action: referred to Committee on Energy and Technology"
HR 0298 of 2012,House Resolution,"A resolution to declare July 2012 as Professional Pest Management Month in the state of Michigan.
Last Action: adopted"
HR 0299 of 2012,House Resolution,A resolution to declare August 2012 as Spinal Muscular Atrophy Awareness Month in the state of Michigan.Last Action: adopted
HR 0300 of 2012,House Resolution,"A resolution to encourage elementary schools throughout Michigan to incorporate the gun safety curriculum found in the Michigan Model for Health program and to encourage all schools to incorporate gun safety programs at all grade levels.

Last Action: referred to Committee on Education"
HR 0301 of 2012,House Resolution,"A resolution to encourage Michigan schools to offer entrepreneurial education as part of the K-12 curriculum.

Last Action: referred to Committee on Education"
HR 0302 of 2012,House Resolution,"A resolution to urge the Governor to formulate a comprehensive plan for improved pipeline oversight in Michigan.

Last Action: referred to Committee on Energy and Technology"
HR 0303 of 2012,House Resolution,"A resolution to call on the House Standing Committee on Oversight, Reform, and Ethics to conduct an investigation, with public hearings in compliance with the Open Meetings Act, of any ethics misconduct, violations of House Rules, or misuse of state resources by members and staff in the candidate filings for the 76th House District.

Last Action: adverse roll call"
HR 0304 of 2012,House Resolution,A resolution to recognize and honor all of the athletes from around the country who will represent the United States at the 2012 Summer Paralympic Games.Last Action: adopted
HR 0305 of 2012,House Resolution,A resolution to declare September 2012 as Life Insurance Awareness Month in the state of Michigan.Last Action: adopted
HR 0306 of 2012,House Resolution,"A resolution to declare September 16-22, 2012, as Teen Cancer Awareness Week in the state of Michigan.Last Action: adopted"
HR 0307 of 2012,House Resolution,"A resolution to declare September 9, 2012, as Fetal Alcohol Spectrum Disorders Awareness Day in the state of Michigan.Last Action: adopted"
HR 0308 of 2012,House Resolution,"A resolution to declare September 11-17, 2012, as Patriot Week in the state of Michigan.Last Action: adopted"
HR 0309 of 2012,House Resolution,"A resolution to call on the Kent County Prosecutor and Attorney General to immediately re-open the investigation into the election rigging scandal in the 76th House District.

Last Action: referred to Committee on Government Operations"
HR 0310 of 2012,House Resolution,"A resolution to memorialize the United States Congress to take all necessary steps and actions to rein in the Internal Revenue Service’s inappropriate interpretation of the Patient Protection and Affordable Care Act related to a federal health insurance exchange and taxation.

Last Action: referred to Committee on Health Policy"
HR 0311 of 2012,House Resolution,"A resolution to express support for the Eaton Rapids School District and its plan for a Small School Nature Academy.

Last Action: adopted"
HR 0312 of 2012,House Resolution,A resolution to declare September 2012 as Recovery Month in the state of Michigan.Last Action: adopted
HR 0313 of 2012,House Resolution,"A resolution to declare September 10-14, 2012, as Home Education Week in the state of Michigan.Last Action: adopted"
HR 0314 of 2012,House Resolution,A resolution to commemorate the 50th anniversary of the Michigan Braille Transcribing Fund.Last Action: adopted
HR 0315 of 2012,House Resolution,"A resolution to memorialize the Congress of the United States to enact a comprehensive federal farm bill before the current farm bill expires on September 30, 2012.

Last Action: referred to Committee on Agriculture"
HR 0316 of 2012,House Resolution,"A resolution to call on Speaker James ""Jase"" Bolger to step aside pending completion of the one-person grand jury investigation into suspected crimes and offenses committed by him and others related to the election rigging scandal in the 76th House District.

Last Action: referred to Committee on Government Operations"
HR 0317 of 2012,House Resolution,"A resolution to declare September 21, 2012, as Alzheimer's Action Day in the state of Michigan.
Last Action: adopted"
HR 0318 of 2012,House Resolution,A resolution to declare September 2012 as Alzheimer's Month in the state of Michigan.Last Action: adopted
HR 0319 of 2012,House Resolution,"A resolution to declare September 19, 2012, as Don't Text and Drive Day in the state of Michigan.Last Action: adopted"
HR 0320 of 2012,House Resolution,"A resolution to declare September 21, 2012 as POW/MIA Recognition Day in the state of Michigan.Last Action: adopted"
HR 0321 of 2012,House Resolution,A resolution to declare September 2012 as Childhood Cancer Awareness Month in the state of Michigan.Last Action: adopted
HR 0322 of 2012,House Resolution,A resolution to declare September 2012 as Library Card Sign-up Month in the state of Michigan.Last Action: adopted
HR 0323 of 2012,House Resolution,A resolution to declare September 2012 as Ovarian Cancer Awareness Month in the state of Michigan.Last Action: adopted
HR 0324 of 2012,House Resolution,"A resolution to condemn the remarks of United States Representative Todd Akin, and comments like his, and the position of the national Republican party to diminish the severity of rape and marginalize its victims and survivors.

Last Action: referred to Committee on Government Operations"
HR 0325 of 2012,House Resolution,"A resolution to memorialize the Congress of the United States to provide funding to the United States Army Corps of Engineers for dredging recreational harbors in Michigan, particularly Portage Lake Harbor located in Onekama, MI.

Last Action: adopted"
HR 0326 of 2012,House Resolution,"A resolution to declare October 6, 2012, as Men's Health Awareness Day in the state of Michigan.Last Action: adopted"
HR 0327 of 2012,House Resolution,"A resolution to declare October 15-19, 2012, as Credit Union Week in the state of Michigan.Last Action: adopted"
HR 0328 of 2012,House Resolution,"A resolution to declare December 1, 2012, as AIDS Day in the state of Michigan.Last Action: adopted"
HR 0329 of 2012,House Resolution,A resolution to declare November 2012 as COPD Awareness Month in the state of Michigan.Last Action: adopted
HR 0330 of 2012,House Resolution,"A resolution to declare December 6, 2012, as Utility Workers Safety Awareness Day in the state of Michigan.Last Action: adopted"
HR 0331 of 2012,House Resolution,A resolution to declare November 2012 as Adoption Awareness Month in the state of Michigan.Last Action: adopted
HR 0332 of 2012,House Resolution,"A resolution to declare November 15, 2012, as Great American Smoke-Out Day in the state of Michigan.Last Action: adopted"
HR 0333 of 2012,House Resolution,"A resolution to declare November 14, 2012, as Chronic Obstructive Pulmonary Disease Awareness Day in the state of Michigan.
Last Action: adopted"
HR 0334 of 2012,House Resolution,"A resolution to memorialize the Congress of the United States to end the federal grants that support presidential nominating conventions.

Last Action: referred to Committee on Redistricting and Elections"
HR 0335 of 2012,House Resolution,A resolution to declare November 2012 as Pancreatic Cancer Awareness Month in the state of Michigan.Last Action: adopted
HR 0336 of 2012,House Resolution,"A resolution of tribute for the Honorable David Agema.

Last Action: adopted"
HR 0337 of 2012,House Resolution,"A resolution of tribute for the Honorable Joan Bauer.

Last Action: adopted"
HR 0338 of 2012,House Resolution,"A resolution of tribute for the Honorable Timothy Bledsoe.

Last Action: adopted"
HR 0339 of 2012,House Resolution,"A resolution of tribute for the Honorable Lisa Brown.

Last Action: adopted"
HR 0340 of 2012,House Resolution,"A resolution of tribute for the Honorable Barb Byrum.

Last Action: adopted"
HR 0341 of 2012,House Resolution,"A resolution of tribute for the Honorable Bob Constan.

Last Action: adopted"
HR 0342 of 2012,House Resolution,"A resolution of tribute for the Honorable Kurt Damrow.

Last Action: adopted"
HR 0343 of 2012,House Resolution,"A resolution of tribute for the Honorable Judson Gilbert II.

Last Action: adopted"
HR 0344 of 2012,House Resolution,"A resolution of tribute for the Honorable Richard Hammel.

Last Action: adopted"
HR 0345 of 2012,House Resolution,"A resolution of tribute for the Honorable Ken Horn.

Last Action: adopted"
HR 0346 of 2012,House Resolution,"A resolution of tribute for the Honorable Lisa Howze.

Last Action: adopted"
HR 0347 of 2012,House Resolution,"A resolution of tribute for the Honorable Holly Hughes.

Last Action: adopted"
HR 0348 of 2012,House Resolution,"A resolution of tribute for the Honorable Matt Huuki.

Last Action: adopted"
HR 0349 of 2012,House Resolution,"A resolution of tribute for the Honorable Shanelle Jackson.

Last Action: adopted"
HR 0350 of 2012,House Resolution,"A resolution of tribute for the Honorable Martin ""Marty"" Knollenberg.

Last Action: adopted"
HR 0351 of 2012,House Resolution,"A resolution of tribute for the Honorable Richard LeBlanc.

Last Action: adopted"
HR 0352 of 2012,House Resolution,"A resolution of tribute for the Honorable Steven Lindberg.

Last Action: adopted"
HR 0353 of 2012,House Resolution,"A resolution of tribute for the Honorable Lesia Liss.

Last Action: adopted"
HR 0354 of 2012,House Resolution,"A resolution of tribute for the Honorable Mark Meadows.

Last Action: adopted"
HR 0355 of 2012,House Resolution,"A resolution of tribute for the Honorable Charles ""Chuck"" Moss.

Last Action: adopted"
HR 0356 of 2012,House Resolution,"A resolution of tribute for the Honorable Rick Olson.

Last Action: adopted"
HR 0357 of 2012,House Resolution,"A resolution of tribute for the Honorable Paul E. Opsommer.

Last Action: adopted"
HR 0358 of 2012,House Resolution,"A resolution of tribute for the Honorable Mark Ouimet.

Last Action: adopted"
HR 0359 of 2012,House Resolution,"A resolution of tribute for the Honorable Roy Schmidt.

Last Action: adopted"
HR 0360 of 2012,House Resolution,"A resolution of tribute for the Honorable Deb Lynn Shaughnessy

Last Action: adopted"
