doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
11scr0023,SCR 0023 of 2011,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to urge the Federal Surface Transportation Board to require trains to permit the accommodation of bicycles, especially through roll-on services.

Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0023
11scr0024,SCR 0024 of 2011,NA,NA,2011-2012,SCR,NA,NA,A concurrent resolution prescribing the legislative schedule.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0024
11hcr0024,HCR 0024 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease between the State of Michigan and the State Building Authority relative to the Department of Technology, Management and Budget State Facility Preservation Projects-Phase III Group K Huron Valley Drop Ship Building and Sewage Pump Station.

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0024
11hcr0025,HCR 0025 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving a lease between the State of Michigan and the State Building Authority relative to the Department of Technology, Management and Budget State Facility Preservation Projects-Phase I, II, and III Group J Huron Valley Special Maintenance Projects (the ""Facility"").

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0025
11scr0025,SCR 0025 of 2011,NA,NA,2011-2012,SCR,NA,NA,A concurrent resolution prescribing the legislative schedule.Last Action: referred to Committee on Government Operations,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0025
11hcr0026,HCR 0026 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and Michigan Technological University relative to the Michigan Technological University Great Lakes Research Center.

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0026
11hcr0027,HCR 0027 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and Eastern Michigan University relative to the Eastern Michigan University Pray-Harrold Hall Renovations.

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0027
11hcr0028,HCR 0028 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to memorialize Congress to allow states to opt out of levying the federal excise tax on gasoline in their state if they agree to increase their own gasoline excise tax by the same amount and constitutionally dedicate it fully to transportation needs.

Last Action: referred to Committee on Transportation",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0028
11hcr0029,HCR 0029 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to urge the Department of Defense to apply uniform standards for awarding the Purple Heart, to ensure appropriate acknowledgement of our military personnel who sustain traumatic brain injuries.

Last Action: PLACED ON ORDER OF RESOLUTIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0029
11hcr0030,HCR 0030 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to declare June 11-19, 2011, as Aquatic Invasive Species Awareness Week in the state of Michigan.Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0030
11hcr0031,HCR 0031 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to memorialize Congress and the U.S. Department of Agriculture to increase the flexibility of states to administer the Supplemental Nutrition Assistance Program.

Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0031
11hcr0032,HCR 0032 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to urge the Department of Community Health to promote programs to identify and address inequities in the prevention, treatment, and research of diseases threatening the health of women.

Last Action: referred to Committee on Health Policy",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0032
11hcr0033,HCR 0033 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to memorialize the Wisconsin Department of Justice to recognize Michigan concealed pistol license holders as being legal to carry concealed weapons in the state of Wisconsin.

Last Action: referred to Committee on Judiciary",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0033
11hcr0034,HCR 0034 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution relative to secondary road patrol funds for counties providing road patrol services to cities and villages.

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0034
11hcr0035,HCR 0035 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to amend the Joint Rules of the Senate and House of Representatives.

Last Action: referred to Committee on Government Operations",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0035
11hcr0036,HCR 0036 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and the Board of Trustees of Western Michigan University relative to the Western Michigan University Sangren Hall Replacement project.

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0036
11hcr0037,HCR 0037 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and School District of the City of Dearborn relative to the Henry Ford Community College Science Building Improvements project.

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0037
11hcr0038,HCR 0038 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and Washtenaw Community College relative to the Washtenaw Community College Skilled Trades Training Program Renovations project.

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0038
11hcr0039,HCR 0039 of 2011,NA,NA,2011-2012,HCR,NA,NA,A concurrent resolution prescribing the legislative schedule.Last Action: adopted by Senate - referred to the Clerk for record,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0039
11hcr0040,HCR 0040 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to memorialize the United States Congress to exercise its oversight responsibilities with regard to the Security and Prosperity Partnership of North America and any other agreements, compacts, or associations between itself, Canada, and Mexico that may compromise the sovereignty of the United States.

Last Action: referred to Committee on Commerce",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0040
11hcr0041,HCR 0041 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to urge the National Railroad Passenger Corporation (Amtrak) to pursue bicycle friendly policies by providing for bicycles on board trains and bicycle parking in future station plans.

Last Action: referred to Committee on Transportation",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0041
11hcr0042,HCR 0042 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to memorialize Congress to extend the Chemical Facility Anti-Terrorism Standards (CFATS) program.

Last Action: REFERRED TO COMMITTEE ON VETERANS, MILITARY AFFAIRS AND HOMELAND SECURITY",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0042
12scr0026,SCR 0026 of 2012,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to memorialize Congress to adopt and submit to the states for ratification an amendment to the United States Constitution to require a balanced budget.

Last Action: PLACED ON ORDER OF RESOLUTIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-SCR-0026
12scr0027,SCR 0027 of 2012,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to encourage the Michigan Economic Development Corporation to work through the Pure Michigan campaign and with the Department of Agriculture and Rural Development to promote and brand Pure Michigan-grown foods.
Last Action: PLACED ON ORDER OF RESOLUTIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-SCR-0027
12scr0028,SCR 0028 of 2012,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to memorialize Congress to fund the Facility for Rare Isotope Beams (FRIB) at Michigan State University to its full scheduled appropriation level.
Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-SCR-0028
12scr0029,SCR 0029 of 2012,NA,NA,2011-2012,SCR,NA,NA,A concurrent resolution prescribing the legislative schedule.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-SCR-0029
12scr0030,SCR 0030 of 2012,NA,NA,2011-2012,SCR,NA,NA,A concurrent resolution prescribing the legislative schedule.Last Action: referred to Committee on Government Operations,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-SCR-0030
12scr0031,SCR 0031 of 2012,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution of tribute offered as a memorial for Joseph F. Young, Jr., former member of the House of Representatives and the Senate.

Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-SCR-0031
12scr0032,SCR 0032 of 2012,NA,NA,2011-2012,SCR,NA,NA,A concurrent resolution prescribing the legislative schedule.Last Action: referred to Committee on Government Operations,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-SCR-0032
12scr0033,SCR 0033 of 2012,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to waive the legislative notice requirement for increases in rates of compensation for certain employees in the state classified service.

Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-SCR-0033
12scr0034,SCR 0034 of 2012,NA,NA,2011-2012,SCR,NA,NA,A concurrent resolution prescribing the legislative schedule.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-SCR-0034
12scr0035,SCR 0035 of 2012,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution of tribute offered as a memorial for Hal W. Ziegler, former member of the House of Representatives and the Senate.

Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-SCR-0035
12scr0036,SCR 0036 of 2012,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to express support for an amendment to the Patient Protection and Affordable Care Act that will allow insurance companies to consider Health Savings Account contributions toward the payment of benefits and premiums in the medical loss ratio calculation.

Last Action: referred to Committee on Health Policy",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-SCR-0036
