doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
09sjr000H,SJR H of 2009,NA,NA,2009-2010,SJR,Property tax,assessments,"Property tax; assessments; taxable value; limit increase when market value decreases. Amends sec. 3, art. IX of the state constitution.Last Action: referred to Committee on Tax Policy",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SJR-H
09hjr000H,HJR H of 2009,NA,NA,2009-2010,HJR,Constitutional amendments,state,"Constitutional amendments; state; natural resources trust fund; modify allowable expenditures and provide for use of funds to manage land and water resources for recreational uses. Amends sec. 35, art. IX of the state constitution.Last Action: printed joint resolution filed 02/06/2009",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HJR-H
09hjr000I,HJR I of 2009,NA,NA,2009-2010,HJR,Property tax,assessments,"Property tax; assessments; increase in taxable value upon transfer; limit. Amends sec. 3, art IX of the state constitution.Last Action: printed joint resolution filed 02/12/2009",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HJR-I
09sjr000I,SJR I of 2009,NA,NA,2009-2010,SJR,Property tax,assessments,"Property tax; assessments; limitation on taxable value based on change in SEV; amend constitution to provide for. Amends sec. 3, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON FINANCE",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SJR-I
09sjr000J,SJR J of 2009,NA,NA,2009-2010,SJR,Higher education,tuition,"Higher education; tuition; public universities to offer in-state tuition to all veterans; require. Amends secs. 5 & 6, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON SENIOR CITIZENS AND VETERANS AFFAIRS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SJR-J
09hjr000J,HJR J of 2009,NA,NA,2009-2010,HJR,Property tax,assessments,"Property tax; assessments; calculation of taxable value; revise. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 02/18/2009",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HJR-J
09hjr000K,HJR K of 2009,NA,NA,2009-2010,HJR,Legislature,legislators,"Legislature; legislators; reduction of legislators' salary if state unemployment rate exceeds certain amount; provide for. Amends sec. 12, art. IV of the state constitution.Last Action: printed joint resolution filed 02/18/2009",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HJR-K
09sjr000K,SJR K of 2009,NA,NA,2009-2010,SJR,Constitutional amendments,state,Constitutional amendments; state; right for independent health care; provide for. Amends the state constitution by adding sec. 28 to art. I.Last Action: RECONSIDER VOTE POSTPONED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SJR-K
09sjr000L,SJR L of 2009,NA,NA,2009-2010,SJR,Public employees and officers,other,"Public employees and officers; other; veteran's preference for state jobs; revise. Amends sec. 5, art. XI of the state constitution.Last Action: REFERRED TO COMMITTEE ON SENIOR CITIZENS AND VETERANS AFFAIRS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SJR-L
09hjr000L,HJR L of 2009,NA,NA,2009-2010,HJR,Legislature,legislators,"Legislature; legislators; term limits; repeal. Repeals sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 02/19/2009",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HJR-L
09hjr000M,HJR M of 2009,NA,NA,2009-2010,HJR,Retirement,forfeiture,"Retirement; forfeiture; public employee pension forfeiture for certain offenses; allow. Amends sec. 24, art. IX of the state constitution.Last Action: printed joint resolution filed 02/19/2009",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HJR-M
09sjr000M,SJR M of 2009,NA,NA,2009-2010,SJR,Civil rights,equal protection,Civil rights; equal protection; right to life; establish and clarify. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON JUDICIARY,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SJR-M
