doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
08hjr00PP,HJR PP of 2008,NA,NA,2007-2008,HJR,Environmental protection,recycling,Environmental protection; recycling; 1-cent recycling fee; provide for. Amends the state constitution by adding sec. 11a to art. IX.Last Action: printed joint resolution filed 02/15/2007,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-PP
08hjr00QQ,HJR QQ of 2008,NA,NA,2007-2008,HJR,Legislature,other,Legislature; other; shared power organizational agreement in the house of representatives; create. Amends the state constitution by adding sec. 55 to art. IV.Last Action: printed joint resolution filed 02/20/2008,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-QQ
08hjr00RR,HJR RR of 2008,NA,NA,2007-2008,HJR,Courts,judges,Courts; judges; supreme court justices; clarify circumstances requiring disqualification. Amends the state constitution by adding sec. 31 to art. VI.Last Action: printed joint resolution filed 03/05/2008,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-RR
08hjr00SS,HJR SS of 2008,NA,NA,2007-2008,HJR,Legislature,sessions,"Legislature; sessions; unicameral legislature, independent redistricting commission, certain legislative salary and benefit revisions, and certain other legislative changes; provide for. Amends sec. 9, art. II, sec. 8, art. III, secs. 1, 6, 7, 8, 11, 12, 14, 16, 17, 18, 19, 20, 22, 24, 26, 27, 29, 30, 31, 33, 37, 43, 53 & 54, art. IV, secs. 2, 3, 6, 7, 13, 18, 20, 25, 26, 28 & 29, art. V, secs. 1 & 25, art. VI, sec. 6, art. VIII, secs. 15 & 27, art. IX, sec. 5, art. X, secs. 5 & 7, art. XI & secs. 1 & 3, art. XII; adds secs. 1a, 1b & 55 to art. IV & repeals secs. 2, 3, 4 & 21, art. IV of the state constitution.Last Action: printed joint resolution filed 03/13/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-SS
08hjr00TT,HJR TT of 2008,NA,NA,2007-2008,HJR,State financing and management,budget,"State financing and management; budget; constitutional amendment to limit spending; implement. Amends sec. 26, art. IX of the state constitution.Last Action: printed joint resolution filed 04/10/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-TT
08hjr00UU,HJR UU of 2008,NA,NA,2007-2008,HJR,Sales tax,other,"Sales tax; other; special districts allowed to levy an additional sales tax; create, and earmark to arts and cultural programming. Amends sec. 8, art. IX of the state constitution.Last Action: printed joint resolution filed 04/11/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-UU
08hjr00VV,HJR VV of 2008,NA,NA,2007-2008,HJR,Retirement,forfeiture,"Retirement; forfeiture; public employee pension forfeiture for certain offenses; allow. Amends sec. 24, art. IX of the state constitution.Last Action: printed joint resolution filed 04/11/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-VV
08hjr00WW,HJR WW of 2008,NA,NA,2007-2008,HJR,Constitutional amendments,state,"Constitutional amendments; state; health care for all Michigan residents; establish. Amends sec. 51, art. IV of the state constitution.Last Action: printed joint resolution filed 04/11/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-WW
08hjr00XX,HJR XX of 2008,NA,NA,2007-2008,HJR,Elections,primary,"Elections; primary; nomination of attorney general and secretary of state; revise. Amends sec. 21, art. V of the state constitution.Last Action: printed joint resolution filed 04/17/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-XX
08hjr00YY,HJR YY of 2008,NA,NA,2007-2008,HJR,Elections,primary,"Elections; primary; procedure for nomination of incumbent supreme court justices; revise. Amends sec. 2, art. VI of the state constitution.Last Action: printed joint resolution filed 04/17/2008",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2008-HJR-YY
