doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
22hb5837,HB 5837 of 2022,NA,NA,2021-2022,HB,Appropriations,school aid,"Appropriations: school aid; executive recommendation; provide for omnibus appropriations for school aid, higher education, and community college. Amends secs. 3, 6, 6a, 11, 11a, 11j, 11k, 11m, 11s, 15, 18, 20, 20d, 20f, 20m, 21f, 21h, 22a, 22b, 22c, 22d, 22m, 22p, 24, 24a, 25f, 25g, 26a, 26b, 26c, 26d, 28, 31a, 31d, 31f, 31j, 31n, 31o, 31p, 32d, 32p, 35a, 39, 39a, 41, 51a, 51c, 51d, 51f, 51g, 53a, 54, 54b, 54d, 56, 61a, 61b, 61c, 61d, 62, 65, 67, 74, 81, 94, 94a, 97, 98, 99h, 99s, 104, 104h, 107, 147, 147a, 147c, 147e, 152a, 201, 201e, 206, 207a, 207b, 207c, 209, 209a, 229a, 230, 236, 236b, 236c, 236i, 241, 245, 245a, 251, 252, 256, 259, 260, 263, 264, 265, 265a, 265b, 267, 268, 269, 270c, 275h, 276, 277, 278, 279, 280, 281 & 282 of 1979 PA 94 (MCL 388.1603 et seq.); adds secs. 11y, 27a, 27d, 32n, 32s, 97b, 226e & 236k & repeals secs. 11n, 11o, 11r, 11p, 22g, 25i, 31m, 31v, 31y, 35b, 35d, 35e, 35f, 35g, 35h, 41a, 55, 61g, 67a, 67b, 94c, 94d, 95b, 97a, 98a, 98b, 98d, 99i, 99t, 99u, 99w, 99x, 99z, 99aa, 99bb, 104a, 104f, 104g, 152b, 164g, 164h, 166, 208, 210g, 210h, 212, 220, 226b, 226d, 226g, 228, 236h, 261, 265e, 271a, 274, 275a, 275d, 275f, 275g, 275i, 281a, 286b & 291 (MCL 388.1611n et seq.).Last Action: bill electronically reproduced 02/23/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5837,FALSE
22hb5838,HB 5838 of 2022,NA,NA,2021-2022,HB,Individual income tax,exemptions,Individual income tax: exemptions; personal exemption amount for 2022; increase. Amends secs. 30 & 51 of 1967 PA 281 (MCL 206.30 & 206.51).Last Action: referred to second reading,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5838,FALSE
22hb5839,HB 5839 of 2022,NA,NA,2021-2022,HB,Marihuana,administration,Marihuana: administration; spouses of applicants for licensure who hold certain positions in certain governmental bodies; prohibit the marijuana regulatory agency from denying an application based on. Amends sec. 7 of 2018 IL 1 (MCL 333.27957).Last Action: vetoed by the Governor 12/22/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5839,FALSE
22hb5840,HB 5840 of 2022,NA,NA,2021-2022,HB,Campaign finance,contributions and expenditures,"Campaign finance: contributions and expenditures; use of campaign funds to pay for child care expenses; allow. Amends secs. 3, 6 & 9 of 1976 PA 388 (MCL 169.203 et seq.).Last Action: bill electronically reproduced 02/24/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5840,FALSE
22hb5841,HB 5841 of 2022,NA,NA,2021-2022,HB,Appropriations,other,Appropriations: other; executive recommendation; provide for omnibus bill. Creates appropriation act.Last Action: bill electronically reproduced 02/24/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5841,FALSE
22hb5842,HB 5842 of 2022,NA,NA,2021-2022,HB,Health,pharmaceuticals,Health: pharmaceuticals; prescription drug cost and affordability review act; create. Creates new act.   TIE BAR WITH: HB 5845'22Last Action: bill electronically reproduced 02/24/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5842,FALSE
22hb5843,HB 5843 of 2022,NA,NA,2021-2022,HB,Insurance,health insurers,Insurance: health insurers; compliance with the prescription drug cost and affordability review act; require. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406x.  TIE BAR WITH: HB 5842'22Last Action: bill electronically reproduced 02/24/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5843,FALSE
22hb5844,HB 5844 of 2022,NA,NA,2021-2022,HB,Human services,medical services,Human services: medical services; compliance with the prescription drug cost and affordability review act; require. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 109o.Last Action: bill electronically reproduced 02/24/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5844,FALSE
22hb5845,HB 5845 of 2022,NA,NA,2021-2022,HB,Health,pharmaceuticals,"Health: pharmaceuticals; certain licensing fees for drug manufacturers; modify for certain purposes. Amends secs. 16315, 16319 & 16333 of 1978 PA 368 (MCL 333.16315 et seq.).   TIE BAR WITH: HB 5842'22Last Action: bill electronically reproduced 02/24/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5845,FALSE
22hb5846,HB 5846 of 2022,NA,NA,2021-2022,HB,Education,public school academies,"Education: public school academies; requirements for management agreement with educational management organizations; revise. Amends secs. 503c, 504a, 523c, 525, 553c, 557 & 1311h of 1976 PA 451 (MCL 380.503c et seq.).Last Action: bill electronically reproduced 02/24/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5846,FALSE
